Time[s], Channel 0, Channel 1, Channel 2, Channel 3
-0.100000000000000, 1, 1, 1, 0
-0.000001740000000, 1, 0, 1, 0
-0.000001180000000, 1, 0, 0, 0
0.000000000000000, 1, 0, 1, 0
0.000001200000000, 1, 0, 0, 0
0.000002360000000, 1, 0, 1, 0
0.000003560000000, 1, 0, 0, 0
0.000004740000000, 1, 0, 1, 0
0.000005920000000, 1, 0, 0, 0
0.000007100000000, 1, 0, 1, 0
0.000007700000000, 1, 1, 1, 0
0.000008300000000, 1, 1, 0, 0
0.000009480000000, 1, 1, 1, 0
0.000010100000000, 1, 0, 1, 0
0.000010660000000, 1, 0, 0, 0
0.000011840000000, 1, 0, 1, 0
0.000013040000000, 1, 0, 0, 0
0.000014200000000, 1, 0, 1, 0
0.000015400000000, 1, 0, 0, 0
0.000016580000000, 1, 0, 1, 0
0.000017760000000, 1, 0, 0, 0
0.000018940000000, 1, 0, 1, 0
0.000020140000000, 1, 0, 0, 0
0.000021320000000, 1, 0, 1, 0
0.000022500000000, 1, 0, 0, 0
0.000023680000000, 1, 0, 1, 0
0.000024880000000, 1, 0, 0, 0
0.000026040000000, 1, 0, 1, 0
0.000027240000000, 1, 0, 0, 0
0.000028420000000, 1, 0, 1, 0
0.000029600000000, 1, 0, 0, 0
0.000030780000000, 1, 0, 1, 0
0.000031980000000, 1, 0, 0, 0
0.000033160000000, 1, 0, 1, 0
0.000034340000000, 1, 0, 0, 0
0.000035520000000, 1, 0, 1, 0
0.000036720000000, 1, 0, 0, 0
0.000037880000000, 1, 0, 1, 0
0.000039080000000, 1, 0, 0, 0
0.000040260000000, 1, 0, 1, 0
0.000041440000000, 1, 0, 0, 0
0.000042620000000, 1, 0, 1, 0
0.000043820000000, 1, 0, 0, 0
0.000045000000000, 1, 0, 1, 0
0.000046180000000, 1, 0, 0, 0
0.000047360000000, 1, 0, 1, 0
0.000048560000000, 1, 0, 0, 0
0.000049720000000, 1, 0, 1, 0
0.000050920000000, 1, 0, 0, 0
0.000052100000000, 1, 0, 1, 0
0.000053280000000, 1, 0, 0, 0
0.000054460000000, 1, 0, 1, 0
0.000055660000000, 1, 0, 0, 0
0.000056840000000, 1, 0, 1, 0
0.000058020000000, 1, 0, 0, 0
0.000059200000000, 1, 0, 1, 0
0.000060400000000, 1, 0, 0, 0
0.000061560000000, 1, 0, 1, 0
0.000062160000000, 1, 1, 1, 0
0.000062760000000, 1, 1, 0, 0
0.000063940000000, 1, 1, 1, 0
0.000064560000000, 1, 0, 1, 0
0.000065120000000, 1, 0, 0, 0
0.000066300000000, 1, 0, 1, 0
0.000067500000000, 1, 0, 0, 0
0.000068680000000, 1, 0, 1, 0
0.000069860000000, 1, 0, 0, 0
0.000071040000000, 1, 0, 1, 0
0.000071640000000, 1, 1, 1, 0
0.000072240000000, 1, 1, 0, 0
0.000073400000000, 1, 1, 1, 0
0.000074020000000, 1, 0, 1, 0
0.000074600000000, 1, 0, 0, 0
0.000075780000000, 1, 0, 1, 0
0.000076960000000, 1, 0, 0, 0
0.000078140000000, 1, 0, 1, 0
0.000078740000000, 1, 0, 1, 1
0.000079340000000, 1, 0, 0, 1
0.000080520000000, 1, 0, 1, 1
0.000082300000000, 1, 0, 1, 0
0.000082880000000, 1, 0, 0, 0
0.000083480000000, 1, 0, 1, 0
0.000084080000000, 1, 0, 1, 1
0.000084660000000, 1, 0, 0, 1
0.000085240000000, 1, 0, 1, 1
0.000086440000000, 1, 0, 0, 1
0.000087020000000, 1, 0, 1, 1
0.000087640000000, 1, 0, 1, 0
0.000088220000000, 1, 0, 0, 0
0.000088800000000, 1, 0, 1, 0
0.000090760000000, 1, 0, 1, 1
0.000091360000000, 1, 0, 0, 1
0.000091940000000, 1, 0, 1, 1
0.000092560000000, 1, 0, 1, 0
0.000093140000000, 1, 0, 0, 0
0.000093720000000, 1, 0, 1, 0
0.000094920000000, 1, 0, 0, 0
0.000095500000000, 1, 0, 1, 0
0.000097880000000, 1, 0, 0, 0
0.000099040000000, 1, 0, 1, 0
0.000099640000000, 1, 1, 1, 0
0.000100240000000, 1, 1, 0, 0
0.000101420000000, 1, 1, 1, 0
0.000102040000000, 1, 0, 1, 0
0.000102600000000, 1, 0, 0, 0
0.000103780000000, 1, 0, 1, 0
0.000104980000000, 1, 0, 0, 0
0.000106160000000, 1, 0, 1, 0
0.000107340000000, 1, 0, 0, 0
0.000108520000000, 1, 0, 1, 0
0.000109720000000, 1, 0, 0, 0
